2021-07-02 13:25:22,532|387|612
2021-07-02 13:25:22,540|386|613
2021-07-02 13:25:22,555|385|615
2021-07-02 13:25:22,568|383|616
2021-07-02 13:25:22,580|382|616
2021-07-02 13:25:22,587|381|617
2021-07-02 13:25:22,603|380|618
2021-07-02 13:25:22,611|377|620
2021-07-02 13:25:22,627|376|621
2021-07-02 13:25:22,638|375|622
2021-07-02 13:25:22,655|374|622
2021-07-02 13:25:22,659|372|623
2021-07-02 13:25:23,595|373|623
2021-07-02 13:25:23,611|374|626
2021-07-02 13:25:23,619|375|627
2021-07-02 13:25:23,636|376|628
2021-07-02 13:25:23,646|377|629
2021-07-02 13:25:23,654|379|629
2021-07-02 13:25:23,669|380|629
2021-07-02 13:25:23,677|381|629
2021-07-02 13:25:23,692|382|629
2021-07-02 13:25:23,705|383|629
2021-07-02 13:25:23,722|385|629
2021-07-02 13:25:23,726|386|629
2021-07-02 13:25:23,740|387|629
2021-07-02 13:25:23,755|388|629
2021-07-02 13:25:23,804|389|629
2021-07-02 13:25:23,813|391|629
2021-07-02 13:25:23,828|392|629
2021-07-02 13:25:23,840|393|629
2021-07-02 13:25:23,855|394|629
2021-07-02 13:25:23,889|395|629
2021-07-02 13:25:24,679|d|p
2021-07-02 13:25:24,855|d|r
2021-07-02 13:25:25,700|t|p
2021-07-02 13:25:25,837|t|r
2021-07-02 13:25:26,284|e|p
2021-07-02 13:25:26,365|e|r
2021-07-02 13:25:26,585|c|p
2021-07-02 13:25:26,601|j|p
2021-07-02 13:25:26,644|j|r
2021-07-02 13:25:26,654|d|p
2021-07-02 13:25:26,667|c|r
2021-07-02 13:25:26,685|d|r
2021-07-02 13:25:27,060|c|p
2021-07-02 13:25:27,071|n|p
2021-07-02 13:25:27,156|n|r
2021-07-02 13:25:27,184|c|r
2021-07-02 13:25:27,391|h|p
2021-07-02 13:25:27,516|h|r
2021-07-02 13:25:27,556|d|p
2021-07-02 13:25:27,684|d|r
2021-07-02 13:25:27,935|e|p
2021-07-02 13:25:28,069|e|r
2021-07-02 13:25:28,276|y|p
2021-07-02 13:25:28,397|y|r
2021-07-02 13:25:28,444|e|p
2021-07-02 13:25:28,572|e|r
2021-07-02 13:25:28,676|j|p
2021-07-02 13:25:28,820|j|r
2021-07-02 13:25:28,908|c|p
2021-07-02 13:25:29,028|c|r
2021-07-02 13:25:29,308|322|637
2021-07-02 13:25:29,324|200|654
2021-07-02 13:25:29,335|92|683
2021-07-02 13:25:29,349|5|715
2021-07-02 13:25:29,369|-31|729
2021-07-02 13:25:29,373|-17|735
2021-07-02 13:25:29,386|-13|739
2021-07-02 13:25:29,406|-2|741
2021-07-02 13:25:29,408|-2|741
2021-07-02 13:25:29,420|-1|741
2021-07-02 13:25:29,603|0|742
2021-07-02 13:25:30,100|e|p
2021-07-02 13:25:30,237|e|r
2021-07-02 13:25:30,484|g|p
2021-07-02 13:25:30,532|t|p
2021-07-02 13:25:30,636|g|r
2021-07-02 13:25:30,643|t|r
2021-07-02 13:25:32,340|Key.esc|p
2021-07-02 13:25:32,641|Key.esc|r
2021-07-02 13:25:35,772|13|732
2021-07-02 13:25:35,787|34|721
2021-07-02 13:25:35,799|60|709
2021-07-02 13:25:35,804|78|698
2021-07-02 13:25:35,819|99|682
2021-07-02 13:25:35,832|128|655
2021-07-02 13:25:35,847|146|637
2021-07-02 13:25:35,851|162|621
2021-07-02 13:25:35,867|165|618
2021-07-02 13:25:35,880|168|616
2021-07-02 13:25:35,891|169|615
2021-07-02 13:25:35,902|170|614
2021-07-02 13:25:35,916|172|614
2021-07-02 13:25:35,923|173|614
2021-07-02 13:25:35,940|174|614
2021-07-02 13:25:35,954|175|614
2021-07-02 13:25:35,967|176|614
2021-07-02 13:25:35,973|176|613
